Job Title,Company Name,Location
Software Engineer Apprentice,IBM,"Austin, TX 73301 (St Edwards area)+22 locations"
Python Software Engineering Teaching Assistant (Part-Time),Hackbright Academy,+2 locationsRemote
"Software Engineer, Backend - Slack (Senior and Staff)",Slack,+6 locationsRemote
Cybersecurity Apprentice,IBM,"Austin, TX 73301 (St Edwards area)"
Team Lead Job Seeker Operations- Measurement,Indeed,"Austin, TX"
Software Developer – Entry Level,Grant Street Group,Remote
Software Engineer,Microsoft,"Austin, TX+21 locations"
Junior Backend Engineer (Python/Django + AWS) Latam TZ,Deel,"Mexico, MO+3 locations•Remote"
IBM Design for Test (DFT) Engineer,IBM,"Austin, TX 73301 (St Edwards area)+2 locations"
Python Engineer,TrailStone Group,"Austin, TX 78746 (Barton Hills area)+2 locations"
Data Engineer (Python/AWS),Strategic Employment Partners,Remote
Systems Administrator (Remote),CrowdStrike,United States•Remote
After-School Kids Computer Coding Instructor P/T After-Schoo...,CodeAdvantage LLC,"Austin, TX 78735 (Barton Creek area)+2 locations"
DATA ENGINEER - PYTHON,InspiHER Tech,Remote
Python Software Engineer,3M,"Austin, TX"
Python Developer (Remote),"TechData Service Company, LLC",Remote
Data Analyst,University of Texas at Austin,"Austin, TX 78712 (University of Texas area)+1 location"
Vital Event Data Specialist,Dept of State Health Services,"Austin, TX 78756 (Brentwood area)"
"Data Analyst, Partnerships","ZenSupplies,Inc","Austin, TX 78704 (Zilker area)"
Software Engineer (PHP/Python),Catchpoint,Remote
Software Engineer,Tech Healthy Austin,"Austin, TX 78741 (Parker Lane area)"
AWS Cloud Computing Specialist + Apprentice,New Apprenticeship,"Richardson, TX 75082+1 location•Remote"
Python Developer,Apolis,"Chicago, IL•Remote"
Sr. Python Developer,Moorecroft Systems,"Chicago, IL+2 locations•Remote"
Python - Scala Developer,Ascyndent,Remote
Python Developer,Vision,"Baltimore, MD"
Python Developer,Gridiron IT,Remote
Data Engineer,"Anthem, Inc.",Remote
EMO - Programmer Trainee,University of Texas at Austin,"Austin, TX 78712 (University of Texas area)"
Data Engineer,Nomi Health,"Austin, TX 73301 (St Edwards area)"
Senior Backend Software Engineer,E. & J. Gallo Winery,Remote
ETL Developer,Dillard's,"Little Rock, AR 72201 (Riverdale area)"
Sr. Python Developer,Moorecroft Systems,"Chicago, IL+2 locations•Remote"
Performance Analyst,NVIDIA,"St. Louis, MO"
Software Developer (Remote Eligible),Connexus Credit Union,+1 locationRemote
Application Developer,Canva,"Austin, TX"
Data Scientist - Security,Corvus Insurance,Illinois+3 locations
Python Developer,"SolGenie Technologies, Inc.",Remote
"DATA SCIENTIST, PEOPLE ANALYTICS",DraftKings,+4 locationsRemote
Web (HTML/CSS/JS) Coding Instructor,Coding Minds Academy,+8 locationsRemote
Senior Data Scientist,Aignyte,Remote
Python Developer,Canyon Associates,"Bridgewater, NJ 08807•Temporarily Remote"
"Senior Data Analyst - Product, Features, & Growth",Canva,"Austin, TX"
Java/Python Developer,General Motors,"Austin, TX"
Data Analyst,Levelset,"Austin, TX 78748"
Senior Software Engineer - Data Pipeline,Github,+3 locationsRemote
Python Developer,KPI Partners,Remote
Research Associate,University of Texas at Austin,"Austin, TX 78712 (University of Texas area)+5 locations"
"Lead Data Warehouse Engineer (Python, AWS)",Modus Create,Texas•Remote
US Customer Success Django Developer,Nordhealth,"Independence, KS 67301•Remote"
Quantitative Business Analyst,Apple,"Austin, TX+1 location"
Sr. Business Data Analyst with Python,IT First Source,Remote
Meteorologist,TrailStone Group,"Austin, TX 78746 (Barton Hills area)"
Python Developer,Orion Inc.,+1 locationRemote
Business Analyst,University of Texas at Austin,"Austin, TX 78712 (University of Texas area)"
"XROS App Frameworks, Software Engineer",Facebook App,+6 locationsRemote
Sr. SQL Developer,Cquest,Remote
Entry Level DFT Engineer,Cirrus Logic,"Austin, TX 78701 (Downtown area)+2 locations"
Information Architecture Project Leader,General Motors,United States+1 location
Senior Python Engineer,TechnologyAdvice,Remote
"Data Engineer Consultant (Airflow, SQL, Python & Hive, Prest...",Anectotal LLC,Remote
Software Applications Engineer,"Uhnder, Inc.","Austin, TX 78731+1 location"
Python Developer,CSC Generation,United States+1 location•Remote
Staff SW Engineer - Corporate IT,Visa,"Austin, TX"
Desarrollador Backend Python,Seeconds,Remote
Software Engineer - Remote,KanBTech,Remote
Senior BI Engineer,Amazon.com Services LLC,United States+126 locations
Software Engineer 2,Microsoft,"Austin, TX+80 locations"
Senior Data Analyst (Remote),"Covetrus, North America",Maine+1 location•Remote
Formal Verification Engineer - New College Grad,NVIDIA,"Austin, TX+16 locations"
EMO - Programmer Trainee,University of Texas at Austin,"Austin, TX 78712 (University of Texas area)"
Ansible Developer,TCS,Oregon+5 locations•Remote
Routing Science/Analytics BIE,Amazon.com Services LLC,"Austin, TX"
Data Platform Engineer,Under Armour,Remote
Senior Software Engineer/Java - Boston or Remote,Cogito Corporation,Remote
